file_name,art_status,code,name,category,rarity,tiered,hidden,trigger_event,earn_rule,notes
01-first-step.png,ready,first-step,First Step,First steps,Common,,,on_entry_submitted,First ever entry (count(entries)=1),
02-first-bow.png,ready,first-bow,First Bow,First steps,Common,,,on_onboarding_complete,Guardian consent granted and profile complete,
03-first-reveal.png,ready,first-reveal,First Reveal,First steps,Common,,,on_reveal_viewed,First results.seen = true,
04-first-reflection.png,ready,first-reflection,First Reflection,First steps,Common,,,on_journal_entry,First journal_entries row,
05-first-medal.png,ready,first-medal,First Medal,First steps,Uncommon,,,on_medal_awarded,First medal of any placement,
06-first-gold.png,ready,first-gold,First Gold,First steps,Rare,,,on_result_finalized,First results.placement = 1,
07-on-the-mat.png,ready,on-the-mat,On the Mat I/II/III,Effort,Common>Rare,yes,,on_result_finalized,Distinct rounds competed >= 3/6/9 (tier),
08-nine-bows.png,ready,nine-bows,Nine Bows,Effort,Rare,,,on_season_rollup,Competed in all 9 season qualifiers,
09-back-on-the-mat.png,ready,back-on-the-mat,Back on the Mat,Effort,Uncommon,,,on_entry_submitted,Entered a round after missing the prior round,
10-early-bird.png,ready,early-bird,Early Bird,Effort,Uncommon,,,on_entry_submitted,Entry within first 48h of window open,
11-deadline-warrior.png,ready,deadline-warrior,Deadline Warrior,Effort,tiered,yes,,on_entry_submitted,Entries in last 6h before deadline >= 3/5/10 (tier),
12-iron-will.png,ready,iron-will,Iron Will,Effort,Rare,,,on_result_finalized,6 consecutive rounds competed,
13-perfect-attendance.png,ready,perfect-attendance,Perfect Attendance,Effort,Rare,,,on_season_rollup,Entered every round in a season,
14-rising-star.png,ready,rising-star,Rising Star,Growth,Uncommon,,,on_result_finalized,Round score > personal-best score,
15-new-heights.png,ready,new-heights,New Heights,Growth,Uncommon,,,on_rating_updated,Rating > personal-best rating,
16-steady-climb.png,ready,steady-climb,Steady Climb,Growth,Rare,,,on_result_finalized,Score improved 3 rounds running,
17-comeback.png,ready,comeback,Comeback,Growth,Uncommon,,,on_result_finalized,Score improved after a lower round,
18-breakthrough.png,ready,breakthrough,Breakthrough,Growth,Rare,,,on_rating_updated,Largest single rating jump on record,
19-rising-floor.png,ready,rising-floor,Rising Floor,Growth,Uncommon,,,on_result_finalized,Raised your worst-round score,
20-full-circle.png,ready,full-circle,Full Circle,Growth,Epic,,,on_mastery_update,Mirror mastery radar = 100%,
21-precision.png,ready,precision,Precision (Technical),Mastery,tiered,yes,,on_result_finalized,High Technical across N consecutive rounds (tier),
22-kime.png,ready,kime,Kime (Power),Mastery,tiered,yes,,on_result_finalized,High Power streak (tier),
23-rooted.png,ready,rooted,Rooted (Balance),Mastery,tiered,yes,,on_result_finalized,High Balance streak (tier),
24-flow.png,ready,flow,Flow (Timing),Mastery,tiered,yes,,on_result_finalized,High Timing streak (tier),
25-spirit-fire-tiger-eye.png,ready,spirit,Spirit (Presentation),Mastery,tiered,yes,,on_result_finalized,High Presentation streak (tier),
26-innovator.png,ready,innovator,Innovator (Difficulty),Mastery,tiered,yes,,on_result_finalized,High Difficulty/Creative streak (tier),
27-grandmaster.png,ready,grandmaster,Grandmaster,Mastery,Legendary,,,on_mastery_update,Gold reached in all six masteries,
28-both-hands.png,ready,both-hands,Both Hands,Events,Uncommon,,,on_result_finalized,Competed in forms and weapons event types,
29-open-mind-lotus.png,ready,open-mind,Open Mind,Events,Uncommon,,,on_entry_submitted,First entry in an Open event,
30-traditionalist.png,ready,traditionalist,Traditionalist,Events,Rare,,,on_season_rollup,All season entries were Traditional,
31-weapon-master.png,ready,weapon-master,Weapon Master,Events,Rare,,,on_result_finalized,Competed in every weapon event,
32-style-explorer.png,ready,style-explorer,Style Explorer,Events,Uncommon,,,on_season_rollup,Traditional + Open in one season,
33-fearless.png,ready,fearless,Fearless Challenger,Events,Uncommon,,,on_entry_submitted,Entered an event outside usual category,
34-podium.png,ready,podium,Podium,Placement,Uncommon,,,on_medal_awarded,Any top-3 finish (placement <= 3),
35-gold-rush.png,ready,gold-rush,Gold Rush x3/x5,Placement,tiered,yes,,on_result_finalized,Lifetime golds >= 3/5 (tier),
36-sweep.png,ready,sweep,Sweep,Placement,Epic,,,on_result_finalized,Gold in multiple events in one round,
37-undefeated-dragon.png,ready,undefeated,Undefeated,Placement,Rare,,,on_result_finalized,Win streak of N (consecutive placement=1),
71-podium-season.png,ready,podium-season,Podium Season,Placement,Epic,,,on_season_rollup,Placement medal in every round of the season,
72-gold-medallion-nmao-dragon.png,ready,gold-medallion,Gold Medallion,Placement,Legendary,,,on_season_rollup,Gold in every qualifying round (perfect season),
38-semifinalist.png,ready,semifinalist,Semifinalist,Championship,Rare,,,on_bracket_advance,Reached the semifinals,
39-finalist.png,ready,finalist,Finalist,Championship,Epic,,,on_bracket_advance,Reached the finals,
40-grand-champion.png,ready,grand-champion,Grand Champion,Championship,Legendary,,,on_bracket_advance,Won the Grand Finale,
41-sponsors-champion.png,ready,sponsors-champion,Sponsor's Champion,Championship,Legendary,,,on_bracket_advance,Won a sponsor tournament,
42-giant-slayer.png,ready,giant-slayer,Giant Slayer,Championship,Epic,,,on_result_finalized,Beat an opponent rated >= X higher,
43-imprint-complete.png,ready,imprint-complete,Imprint Complete,Imprint,Rare,,,on_season_rollup,Completed all 9 Imprint segments (showed up all season),
44-season-keepsake.png,ready,season-keepsake,Season Keepsake,Imprint,Rare,,,on_season_rollup,Finished season's physical + digital Imprint,
45-gem-s1-sapphire.png,ready,gem-s1,Gem Series S1 (Sapphire),Gem Series,flagship,,,on_season_rollup,Completed season S1; award the Sapphire gem yin-yang,
46-gem-s2-amethyst.png,ready,gem-s2,Gem Series S2 (Amethyst),Gem Series,flagship,,,on_season_rollup,Completed season S2; award the Amethyst gem yin-yang,
47-gem-s3-ruby.png,ready,gem-s3,Gem Series S3 (Ruby),Gem Series,flagship,,,on_season_rollup,Completed season S3; award the Ruby gem yin-yang,
48-gem-s4-emerald.png,ready,gem-s4,Gem Series S4 (Emerald),Gem Series,flagship,,,on_season_rollup,Completed season S4; award the Emerald gem yin-yang,
49-gem-s5-coral.png,ready,gem-s5,Gem Series S5 (Coral),Gem Series,flagship,,,on_season_rollup,Completed season S5; award the Coral gem yin-yang,
50-gem-s6-onyx.png,ready,gem-s6,Gem Series S6 (Onyx),Gem Series,flagship,,,on_season_rollup,Completed season S6; award the Onyx gem yin-yang,
51-gem-s7-rose.png,ready,gem-s7,Gem Series S7 (Rose),Gem Series,flagship,,,on_season_rollup,Completed season S7; award the Rose gem yin-yang,
52-gem-s8-turquoise.png,ready,gem-s8,Gem Series S8 (Turquoise),Gem Series,flagship,,,on_season_rollup,Completed season S8; award the Turquoise gem yin-yang,
53-gem-s9-peridot.png,ready,gem-s9,Gem Series S9 (Peridot),Gem Series,flagship,,,on_season_rollup,Completed season S9; award the Peridot gem yin-yang,
54-gem-s10-platinum.png,ready,gem-s10,Gem Series S10 (Platinum),Gem Series,flagship,,,on_season_rollup,Completed season S10; award the Platinum gem yin-yang,
55-decade-of-dedication.png,ready,decade-of-dedication,Decade of Dedication,Imprint,Legendary,,,on_season_rollup,Completed 10 seasons,
56-consistent-journaler.png,ready,consistent-journaler,Consistent Journaler I/II/III,Journal,tiered,yes,,on_journal_entry,Journaled after 3/10/25 reveals (tier),
57-reflective-warrior.png,ready,reflective-warrior,Reflective Warrior,Journal,Rare,,,on_season_rollup,Journaled every round in a season,
58-goal-keeper.png,ready,goal-keeper,Goal Keeper,Journal,Uncommon,,,on_season_rollup,Set and reached a season goal,
59-first-duel.png,ready,first-duel,First Duel,Dueling,Common,,,on_duel_completed,First completed duel,
60-duelist.png,ready,duelist,Duelist I/II/III,Dueling,tiered,yes,,on_duel_completed,Duels completed >= 5/15/30 (tier),
61-first-blood.png,ready,first-blood,First Blood,Dueling,Uncommon,,,on_duel_completed,First duel win,
62-warpath.png,ready,warpath,Warpath,Dueling,Rare,,,on_duel_completed,N duel wins in a row,
63-peoples-champion.png,ready,peoples-champion,People's Champion,Dueling,Rare,,,on_duel_completed,Win by a landslide community vote,
64-road-warrior.png,ready,road-warrior,Road Warrior,Dueling,Rare,,,on_duel_completed,Dueled opponents from many states/schools,
65-rivalry.png,ready,rivalry,Rivalry,Dueling,Uncommon,,,on_duel_completed,Rematch the same opponent,
66-undefeated-duelist.png,ready,undefeated-duelist,Undefeated Duelist,Dueling,Epic,,,on_duel_completed,Win streak of X with no losses,
67-iron-duelist.png,ready,iron-duelist,Iron Duelist,Dueling,Rare,,,on_duel_completed,Dueled every week for a month,
68-duel-legend.png,ready,duel-legend,Duel Legend,Dueling,Legendary,,,on_duel_completed,Reached #1 on a dueling leaderboard tier,
80-deadlock.png,ready,deadlock,Deadlock,Dueling,Epic,,,on_duel_completed,Duel ends in a true deadlock draw (survives sudden death),
73-first-vote.png,ready,first-vote,First Vote,Voting,Common,,,on_duel_vote_cast,First vote cast,
